22518,27056,2
131,24457,3
35911,27824,2
14778,100,1
382,18416,2
8317,2716,1
41183,706,3
2936,39635,2
27120,131,8
38909,9399,1
38140,95,2
34900,32617,1
27395,21176,2
8870,8813,1
31529,5938,3
2892,33846,3
4957,24110,1
30922,41928,1
22190,29119,2
26442,18395,2
14568,3052,5
21748,36874,2
27101,23215,8
16537,833,2
9694,40684,1
5703,27193,1
17874,13494,2
22676,13701,3
4076,22211,2
4921,5738,1
27587,34599,1
9490,5026,3
26217,24156,2
9571,12539,1
14044,6652,1
25300,33735,2
30411,22566,7
13818,11788,1
39863,40049,2
19655,25257,3
40870,25946,2
29752,31387,1
30581,25424,1
41432,27193,1
20395,17235,3
18813,18307,2
4527,24153,1
24011,13910,2
14428,27627,4
24016,12161,2
9732,1324,1
27518,31270,2
39587,12161,2
4878,7307,1
30938,5596,1
15886,20088,2
20361,29183,3
9265,24953,1
11933,21311,3
38288,19956,1
5035,26353,1
27090,36657,1
27447,24151,2
20375,12454,2
10826,35702,3
25042,36342,1
26469,32334,10
335,20288,2
26469,32342,3
26063,27010,2
5298,19183,1
36473,3052,3
18567,10106,1
33570,32839,1
39442,25552,1
26463,8895,2
24151,20047,1
21632,23536,2
20207,21437,1
10176,12249,1
9844,15000,1
31022,31389,1
27820,37740,3
9436,35722,1
10932,28106,1
6039,37815,1
22976,5049,2
27727,6539,1
872,23595,3
41045,3864,3
34759,20776,2
41249,30330,3
26499,17213,1
18668,39828,2
11979,39146,3
6025,13207,2
3287,13246,2
19123,23631,2
35468,41500,1
32362,1840,1
6979,30039,3
14247,1123,3
8505,3677,1
30743,10696,1
15357,19814,2
19091,31722,6
2132,23710,1
14704,952,2
3515,34759,1
40178,13955,2
26669,21430,1
33570,20408,2
33471,31120,1
13405,29746,1
37730,27627,1
37880,19165,3
19829,27622,1
3852,27990,2
10176,38516,2
16472,28333,1
36468,26165,2
10612,28851,1
4758,13628,1
32928,31270,2
41065,8699,1
34534,34421,1
31944,40145,3
36783,1123,2
39686,41083,2
19588,16655,1
26208,10375,1
31270,14551,2
19183,6940,2
41664,245,1
6100,16791,1
29729,40701,5
17944,13246,2
40045,5842,3
40585,13452,1
10172,12502,3
34397,11657,1
19215,28866,2
32050,27973,3
31725,25777,1
7881,38918,3
26300,38868,2
29242,34345,1
33889,11694,2
5539,30429,1
13780,42021,1
11024,25091,1
4992,13255,1
33846,37302,1
13894,25009,1
33801,9602,2
27627,11372,1
25107,35927,1
7346,18896,1
31502,5707,2
38072,38418,1
22561,10601,1
40287,37428,1
38511,28694,1
40246,19072,1
34134,37629,5
13959,41709,1
30411,12095,1
35510,5600,1
32350,33886,11
22616,4614,1
35494,32342,3
35494,32334,2
3811,35654,3
3293,36960,1
33402,27693,1
28558,31479,3
6163,29188,1
18511,6025,6
17682,40074,1
32633,12431,3
14584,32578,2
18434,37629,2
31943,25653,1
30958,2999,1
1346,18999,2
1462,15711,1
6979,33383,3
38194,10879,3
27098,32348,2
22872,17844,1
36327,33846,1
15746,36109,3
13410,22872,1
2147,21107,1
10018,33730,1
27619,37280,1
31502,32268,1
16601,41901,2
33450,12910,1
26696,37444,3
12905,26165,1
15980,41901,1
38194,5954,2
11526,28486,2
8711,18834,1
15711,29448,1
19730,20368,2
31419,32050,3
37629,10577,1
27239,28193,1
29228,18228,2
27973,35162,1
1372,31722,2
1455,25455,1
1029,20846,1
9322,34082,1
3374,29221,1
7980,7182,1
39953,18987,2
5832,16987,2
36132,21455,1
9099,21305,1
36233,295,1
40931,24984,1
28758,9038,1
38536,37013,3
31235,28755,1
34631,29871,1
39986,18350,1
8375,20362,1
36847,28662,1
21281,26855,1
29884,18093,2
6925,877,2
23057,28120,1
36116,24244,2
35903,2147,1
13428,40603,1
8957,491,2
5526,9385,1
31210,41855,2
34146,13795,2
37529,4014,4
3672,2690,1
5810,10508,3
4960,32371,3
24011,12215,2
6979,25606,3
17113,27380,7
26313,8048,2
22342,3437,1
4837,25847,2
33706,21437,2
31117,16865,1
40545,11788,2
13283,13817,2
21215,27165,1
29467,27709,1
10470,41883,2
36148,36798,1
27433,22601,2
38539,21955,2
4273,19984,1
32344,2886,2
4089,38654,2
35514,7196,1
27794,10692,2
35510,19675,3
11518,14671,1
33545,877,1
52,1680,2
963,29926,1
13680,27695,1
17154,5267,2
25077,27014,3
18324,7385,3
33743,9657,2
13523,30394,1
41661,34393,2
6979,3715,3
19325,10109,3
16770,20326,1
18766,19869,1
4012,10853,2
13854,30308,1
21501,32617,2
38332,1851,3
30670,11805,6
2243,36005,3
10106,33209,2
3052,14825,1
520,32350,1
17233,9834,2
36671,12463,2
32616,26558,1
16321,35013,1
30887,3907,2
36389,24151,2
38842,13435,6
1006,6327,1
1580,5538,1
20875,20818,2
12296,8183,1
36369,18775,1
26296,11939,1
27321,37781,1
29890,4977,1
12025,2429,4
14824,36178,1
15877,22665,1
8183,15600,2
13855,40401,10
11046,14143,3
22566,30031,3
4329,41943,2
7196,7069,2
18740,7970,2
7954,6172,2
24082,32391,3
6259,29119,2
4585,15786,1
25514,15913,2
33288,19130,1
7828,4421,1
11191,18959,2
27022,29119,2
20291,6986,6
31521,39146,4
13096,38516,1
11604,12126,3
40278,11518,1
36747,15453,2
40074,3566,2
5009,12161,1
15245,1172,1
382,4976,1
17738,6081,2
7830,17265,2
12738,4080,1
36610,420,3
33846,22436,2
10186,35132,2
11393,837,1
21675,22444,2
37851,21526,3
14567,3743,1
8860,2636,1
24819,30432,1
14855,16580,1
22043,40074,1
12657,12152,2
34990,22234,1
13043,10258,3
17741,22518,1
17340,32050,2
31169,37778,2
32097,16811,3
29004,13990,2
14781,7196,2
22499,12172,1
32708,34556,1
27973,6211,1
28918,1503,2
36690,8564,1
2149,5637,2
10008,16451,3
8870,34913,1
13512,3395,1
37428,15270,2
26469,35895,3
16383,4867,1
37189,5980,1
37889,6211,1
26606,20895,2
12500,8578,2
33102,29680,2
19825,37013,3
41924,10409,1
41315,32204,4
1541,35997,1
17096,16676,1
8429,39920,2
31686,38332,1
19183,30808,1
31480,39071,1
41943,8574,2
15458,20395,1
32695,19785,2
26536,38332,3
24820,11858,3
13769,27504,1
16679,10435,20
27835,9374,2
29898,8982,1
24993,33846,2
26165,6218,1
16531,15717,1
3395,20952,3
21408,37897,1
17450,34202,1
18924,6440,1
15444,16891,1
8650,28367,18
