12101 1159 4
9421 1159 1
10713 24785 17
34387 24786 4
10713 24786 7
36551 10447 20
38071 24786 31
32025 1159 6
131 5309 37
27180 24785 2
27221 10447 2
21220 39101 80
38188 24786 2
38188 24785 6
16066 1159 4
13358 34970 2
29298 5309 4
36943 1159 14
12102 19734 122
262 34978 1
39570 34967 4
3807 24786 1
21080 39101 1
36551 34970 50
39858 24786 4
1547 39101 2
10085 1159 4
32933 1159 2
35096 24786 2
16843 10447 2
15044 24785 2
38459 39101 4
31417 24785 8
12894 35847 35
7384 24785 24
25255 19734 2
23079 24786 1
31801 34978 1
15688 39101 5
2621 1159 1
26079 24786 2
34964 34970 2
35239 24786 2
27328 1159 2
37479 1159 21
13146 1159 11
6190 1159 8
10833 1159 3
19821 24785 1
19821 24786 3
37484 19734 4
16917 5309 9
5737 1159 1
3676 34970 55
34525 24786 27
3922 1159 49
3676 10447 42
16147 1159 3
35777 15096 1
12665 24786 1
27950 24786 1
29090 39101 1
13336 1159 1
22940 10447 3
13338 1159 4
3985 24786 2
14020 1159 9
11025 1159 3
29705 24786 1
22958 1159 2
38843 1159 2
24526 1159 2
7516 24785 10
1201 1159 1
598 24786 2
17032 24786 1
39054 1159 2
31735 24786 1
3364 1159 2
8209 24786 8
18358 24786 4
9701 24786 222
34892 24785 3
32054 24786 3
33621 1159 2
30493 19734 1
12907 34970 4
23512 723 4
14702 10447 2
11509 34978 14
29015 39101 22
29022 39101 1
33920 10447 3
14702 34970 1
33372 34978 7
17762 24785 43
34250 39101 15
796 1159 2
23759 24786 11
38270 1159 15
39133 1159 1
37842 1159 3
1551 10447 2
5711 1159 6
13230 24785 131
13230 24786 4
35084 1159 3
1551 34970 4
35082 1159 68
210 24786 2
16820 1159 6
30090 1159 1
8058 19734 15
8229 34970 7
36686 5309 3
4429 24785 2
8229 10447 2
3539 34967 6
8973 39101 3
29892 24786 22
36609 34967 1
5648 1159 60
39491 24786 3
19181 24785 2
19181 24786 6
23297 1159 12
12180 39101 17
15458 34974 4
35651 1159 254
7569 39101 8
17200 24786 3
16786 34970 2
15458 34978 2
8037 1159 12
17908 19734 1
4402 24785 2
2864 1159 1
27016 1159 408
21845 24786 6
22403 1159 2
36005 1159 1
19957 24786 2
37049 24786 1
32235 24786 2
27426 34978 3
2169 39101 4
12805 1159 2
14889 24785 5
25552 24785 2
39805 24786 1
926 1159 1
31007 39101 16
34082 24785 8
32614 24786 3
10657 24786 2
26289 24786 21
35112 1159 2
31031 1159 22
13660 24786 5
28895 24786 2
28895 24785 4
15707 5309 2
28975 24785 10
14090 24785 1
14090 24786 2
216 1159 1
39112 1159 8
5406 34978 1
26139 39101 1
20620 10447 3
37850 15096 2
34411 24786 1
21414 24786 4
1629 15096 1
13425 34978 2
30467 24786 1
16695 24785 1
35781 1159 198
20387 1159 25
38315 10447 3
8254 10447 5
14614 10447 30
10189 5309 6
32570 34978 1
34329 24786 2
14614 34970 6
25094 24785 2
8254 34970 1
29713 24786 2
28142 39101 2
4399 24786 4
17787 19734 4
35389 24786 2
5231 10447 69
2433 5309 11
2881 1159 4
39884 1159 4
10693 10447 34
35515 39101 4
14034 24785 1
6211 24786 6
6572 34967 1
9995 10447 9
38067 10447 2
35997 1159 4
16629 24786 4
9466 24785 2
38474 34978 3
35813 10447 18
17490 5309 1
36598 24786 2
36596 24785 1
12457 19734 2
22552 39101 170
31900 5309 195
35813 34970 5
29850 10447 7
23083 24786 3
9824 5309 21
14434 34970 52
37347 1159 2
17581 1159 1
37836 1159 1
33918 24785 107
35310 34970 8
14434 10447 54
39690 24786 18
33905 39101 1
10163 1159 1
1263 4768 1
32207 10447 1
18042 34967 4
25203 10447 11
18460 38583 6
10841 39101 133
25203 34970 12
4799 34967 3
2684 1159 1
36102 24786 1
39169 24785 13
35380 10447 523
15510 1159 5
4210 1159 2
29064 1159 3
25802 24786 2
35380 34970 564
25059 1159 7
382 5309 4
26666 24785 1
1408 1159 5
37858 24786 2
10775 24786 1
15900 34970 2
30421 34974 3
6701 1159 3
15900 10447 3
14328 39101 2
24052 15096 3
24326 39101 3
15341 34970 484
22485 1159 86
9388 24785 2
3883 24785 2
13421 39101 15
15341 10447 40
15112 24785 1
19357 24786 1
601 1159 32
33455 24785 2
21350 39101 2
9836 1159 1
19091 1159 20
17547 1159 4
806 1159 2
25913 34974 64
25516 1159 1
5129 24785 9
26020 34967 39
25913 34978 69
26958 24786 1
10897 24786 15
38107 19734 10
4037 34970 7
2427 24786 1
28347 34978 1
4037 10447 145
17126 24785 8
39260 34967 1
5870 24785 3
21092 39101 10
35322 1159 1
23903 10447 13
7936 39101 4
625 5309 1
8433 34967 3
36507 5309 88
8614 39101 1
33361 15096 2
34128 39101 4
36292 34967 1
32827 5309 10
12171 1159 1
23399 15096 27
17553 19734 25
9571 1159 4
11715 24786 1
12462 1159 1
27961 24785 14
39658 1159 2
33076 19734 8
15750 1159 69
33994 723 2
